5-MCDG_1	5-MCDG	thymine DNA glycosylase 
PIP4P2_1	PIP4P2	phosphatidylinositol-4,5-bisphosphate 4-phosphatase 2 
PIP5K1B_1	PIP5K1B	
PITPNB_1	PITPNB	phosphatidylinositol transfer protein beta isoform 
PITX1_1	PITX1	paired like homeodomain 1 
PITX1_2	PITX1	paired like homeodomain 1 
PITX2_1	PITX2	paired like homeodomain 2 
PKD2_1	PKD2	polycystin 2, transient receptor potential cation channel 
PKIG_1	PKIG	cAMP-dependent protein kinase inhibitor gamma 
PKIG_2	PKIG	cAMP-dependent protein kinase inhibitor gamma 
PKM_1	PKM	pyruvate kinase M1/2 
PKP4_1	PKP4	plakophilin 4 
PKP4_2	PKP4	plakophilin 4 
PLA2G12B_1	PLA2G12B	phospholipase A2 group XIIB 
PLA2R1_1	PLA2R1	phospholipase A2 receptor 1 
PLA2_IIE_1	PLA2_IIE	phospholipase A2 group IIC 
PLAA_1	PLAA	
PLAT_1	PLAT	plasminogen activator, tissue type 
PLAU_1	PLAU	plasminogen activator, urokinase 
PLCG1_1	PLCG1	phospholipase C gamma 1 
PLCXD1_1	PLCXD1	phosphatidylinositol specific phospholipase C X domain containing 1 
PLCXD3_1	PLCXD3	
PLD5_1	PLD5	phospholipase D family member 5 
PLD5_2	PLD5	phospholipase D family member 5 
PLEKHA2_1	PLEKHA2	pleckstrin homology domain containing A2 
PLEKHA2_2	PLEKHA2	pleckstrin homology domain containing A2 
PLEKHA3_1	PLEKHA3	pleckstrin homology domain containing A3 
PLEKHA6_1	PLEKHA6	pleckstrin homology domain containing A6 
PLEKHB1_1	PLEKHB1	pleckstrin homology domain containing B1 
PLEKHF2_1	PLEKHF2	pleckstrin homology and FYVE domain containing 2 
PLEKHH2_1	PLEKHH2	pleckstrin homology, MyTH4 and FERM domain containing H2 
PLEKHM1_1	PLEKHM1	pleckstrin homology and RUN domain containing M1 
PLEKHM3_1	PLEKHM3	pleckstrin homology domain containing M3 
PLEKHO1_1	PLEKHO1	pleckstrin homology domain containing O1 
PLEK_1	PLEK	pleckstrin 
PLIN1_1	PLIN1	perilipin-1 
PLIN2_1	PLIN2	
PLK1_1	PLK1	polo like kinase 1 
PLOD1_1	PLOD1	procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 
PLOD2_1	PLOD2	procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 
PLP1_1	PLP1	proteolipid protein 1 
PLPBP_1	PLPBP	pyridoxal phosphate binding protein 
PLPP1_1	PLPP1	
PLPPR1_1	PLPPR1	
PLPPR1_2	PLPPR1	
PLPPR3_1	PLPPR3	phospholipid phosphatase related 3 
PLRG1_1	PLRG1	pleiotropic regulator 1 
PLS1_1	PLS1	plastin 1 
PLS3_1	PLS3	plastin 3 
PLS3_2	PLS3	plastin 3 
PLXDC1_1	PLXDC1	plexin domain containing 1 
PLXND1_1	PLXND1	plexin D1 
PM20D1_1	PM20D1	peptidase M20 domain containing 1 
PMEL_1	PMEL	melanocyte protein PMEL precursor 
PMEPA1_1	PMEPA1	transmembrane prostate androgen-induced protein 
PMEPA1_2	PMEPA1	transmembrane prostate androgen-induced protein 
PMM2_1	PMM2	phosphomannomutase 2 
PMP22_1	PMP22	peripheral myelin protein 22 
PMP2_1	PMP2	peripheral myelin protein 2 
PMPCA_1	PMPCA	peptidase, mitochondrial processing alpha subunit 
PMPCB_1	PMPCB	peptidase, mitochondrial processing beta subunit 
PMS2_1	PMS2	PMS1 homolog 2, mismatch repair system component 
PMVK_1	PMVK	phosphomevalonate kinase 
PNISR_1	PNISR	PNN interacting serine and arginine rich protein 
PNO1_1	PNO1	RNA-binding protein PNO1 
PNOC_1	PNOC	prepronociceptin 
PNPLA2_1	PNPLA2	patatin like phospholipase domain containing 2 
PNPLA7_1	PNPLA7	patatin like phospholipase domain containing 7 
PNPO_1	PNPO	pyridoxamine 5'-phosphate oxidase 
PNRC1_1	PNRC1	proline rich nuclear receptor coactivator 1 
PNRC2_1	PNRC2	proline rich nuclear receptor coactivator 2 
POC1A_1	POC1A	POC1 centriolar protein A 
POC1B_1	POC1B	POC1 centriolar protein B 
POC5_1	POC5	
PODXL_1	PODXL	podocalyxin like 
POFUT1_1	POFUT1	protein O-fucosyltransferase 1 
POGLUT1_1	POGLUT1	protein O-glucosyltransferase 1 
POGZ_1	POGZ	pogo transposable element derived with ZNF domain 
POLD3_1	POLD3	DNA polymerase delta 3, accessory subunit 
POLDIP2_1	POLDIP2	DNA polymerase delta interacting protein 2 
POLDIP3_1	POLDIP3	DNA polymerase delta interacting protein 3 
POLE2_1	POLE2	DNA polymerase epsilon 2, accessory subunit 
POLE3_1	POLE3	DNA polymerase epsilon 3, accessory subunit 
POLG2_1	POLG2	DNA polymerase gamma 2, accessory subunit 
POLH_1	POLH	DNA polymerase eta 
POLR1C_1	POLR1C	RNA polymerase I subunit C 
POLR1E_1	POLR1E	
POLR2B_1	POLR2B	RNA polymerase II subunit B 
POLR2C_1	POLR2C	RNA polymerase II subunit C 
POLR2D_1	POLR2D	RNA polymerase II subunit D 
POLR2E_1	POLR2E	RNA polymerase II subunit E 
POLR2F_1	POLR2F	RNA polymerase II subunit F 
POLR2H_1	POLR2H	RNA polymerase II subunit H 
POLR2J_1	POLR2J	RNA polymerase II subunit J 
POLR2K_1	POLR2K	RNA polymerase II subunit K 
POLR2K_2	POLR2K	RNA polymerase II subunit K 
POLR2L_1	POLR2L	RNA polymerase II subunit L 
POLR2M_1	POLR2M	RNA polymerase II subunit M 
POLR3A_1	POLR3A	RNA polymerase III subunit A 
POLR3B_1	POLR3B	RNA polymerase III subunit B 
POLR3F_1	POLR3F	RNA polymerase III subunit F 
POLR3H_1	POLR3H	RNA polymerase III subunit H 
POMC_1	POMC	proopiomelanocortin 
POMK_1	POMK	protein-O-mannose kinase 
POMP_1	POMP	proteasome maturation protein 
POMT1_1	POMT1	protein O-mannosyltransferase 1 
POP4_1	POP4	processing of precursor 4 
POP5_1	POP5	POP5 homolog, ribonuclease P/MRP subunit 
POPDC2_1	POPDC2	popeye domain containing 2 
POSTN_1	POSTN	periostin 
POT1_1	POT1	protection of telomeres 1 
PP1M_M21_subunit_1	PP1M_M21_subunit	
PPA1_1	PPA1	pyrophosphatase 1 
PPA2_1	PPA2	pyrophosphatase 2 
PPA2_2	PPA2	pyrophosphatase 2 
PPARA_1	PPARA	peroxisome proliferator activated receptor alpha 
PPARD_1	PPARD	peroxisome proliferator activated receptor delta 
PPAT_1	PPAT	phosphoribosyl pyrophosphate amidotransferase 
PPCDC_1	PPCDC	phosphopantothenoylcysteine decarboxylase 
PPCS_1	PPCS	phosphopantothenoylcysteine synthetase 
PPDPFL_1	PPDPFL	pancreatic progenitor cell differentiation and proliferation factor like 
PPDPF_1	PPDPF	pancreatic progenitor cell differentiation and proliferation factor 
PPFIBP1_1	PPFIBP1	PPFIA binding protein 1 
PPHLN1_1	PPHLN1	periphilin-1 isoform 2 
PPIB_1	PPIB	peptidyl-prolyl cis-trans isomerase B precursor 
PPIC_1	PPIC	
PPID_1	PPID	peptidylprolyl isomerase D 
PPIE_1	PPIE	peptidylprolyl isomerase E 
PPIF_1	PPIF	peptidylprolyl isomerase F 
PPIH_1	PPIH	peptidylprolyl isomerase H 
PPIL1_1	PPIL1	peptidylprolyl isomerase like 1 
PPIL2_1	PPIL2	peptidylprolyl isomerase like 2 
PPIL3_1	PPIL3	peptidylprolyl isomerase like 3 
PPIL4_1	PPIL4	peptidylprolyl isomerase like 4 
PPM1B_1	PPM1B	protein phosphatase, Mg2+/Mn2+ dependent 1B 
PPM1B_2	PPM1B	protein phosphatase, Mg2+/Mn2+ dependent 1B 
PPM1D_1	PPM1D	protein phosphatase, Mg2+/Mn2+ dependent 1D 
PPM1K_1	PPM1K	protein phosphatase, Mg2+/Mn2+ dependent 1K 
PPM1M_1	PPM1M	protein phosphatase, Mg2+/Mn2+ dependent 1M 
PPME1_1	PPME1	protein phosphatase methylesterase 1 
PPP1CB_1	PPP1CB	Serine/threonine-protein phosphatase PP1-beta catalytic subunit 
PPP1CB_2	PPP1CB	Serine/threonine-protein phosphatase PP1-beta catalytic subunit 
PPP1CB_3	PPP1CB	Serine/threonine-protein phosphatase PP1-beta catalytic subunit 
PPP1CC_1	PPP1CC	protein phosphatase 1 catalytic subunit gamma 
PPP1R12A_1	PPP1R12A	Protein phosphatase 1 regulatory subunit 12A 
PPP1R17_1	PPP1R17	protein phosphatase 1 regulatory subunit 17 
PPP1R1C_1	PPP1R1C	protein phosphatase 1 regulatory inhibitor subunit 1C 
PPP1R21_1	PPP1R21	protein phosphatase 1 regulatory subunit 21 
PPP1R7_1	PPP1R7	protein phosphatase 1 regulatory subunit 7 
PPP1R8_1	PPP1R8	protein phosphatase 1 regulatory subunit 8 
PPP2CA_1	PPP2CA	protein phosphatase 2 catalytic subunit alpha 
PPP2CB_1	PPP2CB	protein phosphatase 2 catalytic subunit beta 
PPP2R2A_1	PPP2R2A	protein phosphatase 2 regulatory subunit Balpha 
PPP2R2B_1	PPP2R2B	protein phosphatase 2 regulatory subunit Bbeta 
PPP2R2B_2	PPP2R2B	protein phosphatase 2 regulatory subunit Bbeta 
PPP2R2C_1	PPP2R2C	protein phosphatase 2 regulatory subunit Bgamma 
PPP2R2D_1	PPP2R2D	protein phosphatase 2 regulatory subunit Bdelta 
PPP2R3B_1	PPP2R3B	protein phosphatase 2 regulatory subunit B''beta 
PPP2R3C_1	PPP2R3C	protein phosphatase 2 regulatory subunit B''gamma 
PPP2R4_1	PPP2R4	protein phosphatase 2 phosphatase activator 
PPP2R5A_1	PPP2R5A	protein phosphatase 2 regulatory subunit B'alpha 
PPP2R5C_1	PPP2R5C	protein phosphatase 2 regulatory subunit B'gamma 
PPP3CB_1	PPP3CB	Gallus gallus protein phosphatase 3, catalytic subunit, beta isozyme , mRNA. 
PPP4R2_1	PPP4R2	Serine/threonine-protein phosphatase 4 regulatory subunit 2 
PPP6C_1	PPP6C	protein phosphatase 6 catalytic subunit 
PPP6R3_1	PPP6R3	protein phosphatase 6 regulatory subunit 3 
PPP6R3_2	PPP6R3	protein phosphatase 6 regulatory subunit 3 
PPT1_1	PPT1	palmitoyl-protein thioesterase 1 
PPWD1_1	PPWD1	
PQLC2_1	PQLC2	Lysosomal amino acid transporter 1 homolog 
PRADC1_1	PRADC1	protease associated domain containing 1 
PRDX1_1	PRDX1	peroxiredoxin 1 
PRDX3_1	PRDX3	peroxiredoxin 3 
PRDX4_1	PRDX4	peroxiredoxin 4 
PRDX6_1	PRDX6	peroxiredoxin 6 
PRELID1_1	PRELID1	PRELI domain containing 1 
PRELID3A_1	PRELID3A	PRELI domain containing 3A 
PRELID3B_1	PRELID3B	PRELI domain containing 3B 
PREPL_1	PREPL	prolyl endopeptidase-like 
PREP_1	PREP	prolyl endopeptidase 
PRIM1_1	PRIM1	DNA primase subunit 1 
PRIM2_1	PRIM2	DNA primase subunit 2 
PRIMPOL_1	PRIMPOL	primase and DNA directed polymerase 
PRKAA1_1	PRKAA1	
PRKAB2_1	PRKAB2	protein kinase AMP-activated non-catalytic subunit beta 2 
PRKAB2_2	PRKAB2	protein kinase AMP-activated non-catalytic subunit beta 2 
PRKACB_1	PRKACB	protein kinase cAMP-activated catalytic subunit beta 
PRKAG1_1	PRKAG1	Gallus gallus protein kinase, AMP-activated, gamma 1 non-catalytic subunit , mRNA. 
PRKAG2_1	PRKAG2	protein kinase AMP-activated non-catalytic subunit gamma 2 
PRKAG2_2	PRKAG2	protein kinase AMP-activated non-catalytic subunit gamma 2 
PRKAR1A_1	PRKAR1A	protein kinase cAMP-dependent type I regulatory subunit alpha 
PRKAR1B_1	PRKAR1B	protein kinase cAMP-dependent type I regulatory subunit beta 
PRKAR2A_1	PRKAR2A	protein kinase cAMP-dependent type II regulatory subunit alpha 
PRKCA_1	PRKCA	protein kinase C alpha 
PRKCD_1	PRKCD	protein kinase C delta 
PRKCD_2	PRKCD	protein kinase C delta 
PRKCI_1	PRKCI	protein kinase C iota 
PRKCZ_1	PRKCZ	protein kinase C zeta 
PRKD1_1	PRKD1	protein kinase D1 
PRKDC_1	PRKDC	protein kinase, DNA-activated, catalytic polypeptide 
PRKRIP1_1	PRKRIP1	PRKR interacting protein 1 
PRKX_1	PRKX	protein kinase, X-linked 
PRLH_1	PRLH	prolactin releasing hormone 
PRMT3_1	PRMT3	protein arginine methyltransferase 3 
PRMT7_1	PRMT7	protein arginine methyltransferase 7 
PRNP_1	PRNP	prion protein 
PROCR_1	PROCR	protein C receptor 
PROKR2_1	PROKR2	prokineticin receptor 2 
PROM2_1	PROM2	prominin 2 
PRPF38A_1	PRPF38A	pre-mRNA processing factor 38A 
PRPF3_1	PRPF3	pre-mRNA processing factor 3 
PRPF4_1	PRPF4	pre-mRNA processing factor 4 
PRPS2_1	PRPS2	phosphoribosyl pyrophosphate synthetase 2 
PRPSAP1_1	PRPSAP1	phosphoribosyl pyrophosphate synthetase associated protein 1 
PRPSAP1_2	PRPSAP1	phosphoribosyl pyrophosphate synthetase associated protein 1 
PRPSAP2_1	PRPSAP2	phosphoribosyl pyrophosphate synthetase associated protein 2 
PRR5_1	PRR5	proline rich 5 
PRRC1_1	PRRC1	
PRRC1_2	PRRC1	
PRRG1_1	PRRG1	proline rich and Gla domain 1 
PRRG4_1	PRRG4	proline rich and Gla domain 4 
PRRX1_1	PRRX1	paired related homeobox 1 
PRRX1_2	PRRX1	paired related homeobox 1 
PRRX2_1	PRRX2	paired related homeobox 2 
PRTFDC1_1	PRTFDC1	phosphoribosyl transferase domain containing 1 
PRTG_1	PRTG	protogenin 
PSAT1_1	PSAT1	
PSCA_1	PSCA	prostate stem cell antigen 
PSD2_1	PSD2	pleckstrin and Sec7 domain containing 2 
PSD2_2	PSD2	pleckstrin and Sec7 domain containing 2 
PSD3_1	PSD3	
PSEN1_1	PSEN1	presenilin 1 
PSEN2_1	PSEN2	presenilin 2 
PSMA3_1	PSMA3	proteasome subunit alpha 3 
PSMA4_1	PSMA4	proteasome subunit alpha 4 
PSMA5_1	PSMA5	proteasome subunit alpha 5 
PSMA6_1	PSMA6	proteasome subunit alpha 6 
PSMA7_1	PSMA7	proteasome subunit alpha 7 
PSMB1_1	PSMB1	proteasome subunit beta 1 
PSMB2_1	PSMB2	proteasome subunit beta 2 
PSMB3_1	PSMB3	proteasome subunit beta 3 
PSMB4_1	PSMB4	proteasome subunit beta 4 
PSMC1_1	PSMC1	proteasome 26S subunit, ATPase 1 
PSMC2_1	PSMC2	proteasome 26S subunit, ATPase 2 
PSMC3IP_1	PSMC3IP	PSMC3 interacting protein 
PSMC3_1	PSMC3	proteasome 26S subunit, ATPase 3 
PSMC3_2	PSMC3	proteasome 26S subunit, ATPase 3 
PSMC5_1	PSMC5	proteasome 26S subunit, ATPase 5 
PSMC6_1	PSMC6	proteasome 26S subunit, ATPase 6 
PSMD10_1	PSMD10	proteasome 26S subunit, non-ATPase 10 
PSMD11_1	PSMD11	proteasome 26S subunit, non-ATPase 11 
PSMD12_1	PSMD12	proteasome 26S subunit, non-ATPase 12 
PSMD13_1	PSMD13	26S proteasome non-ATPase regulatory subunit 13 
PSMD1_1	PSMD1	proteasome 26S subunit, non-ATPase 1 
PSMD1_2	PSMD1	proteasome 26S subunit, non-ATPase 1 
PSMD2_1	PSMD2	proteasome 26S subunit, non-ATPase 2 
PSMD3_1	PSMD3	proteasome 26S subunit, non-ATPase 3 
PSMD4_1	PSMD4	proteasome 26S subunit, non-ATPase 4 
PSMD5_1	PSMD5	proteasome 26S subunit, non-ATPase 5 
PSMD6_1	PSMD6	proteasome 26S subunit, non-ATPase 6 
PSME3_1	PSME3	proteasome activator subunit 3 
PSMF1_1	PSMF1	proteasome inhibitor subunit 1 
PSMG1_1	PSMG1	proteasome assembly chaperone 1 
PSMG2_1	PSMG2	proteasome assembly chaperone 2 
PSMG3_1	PSMG3	proteasome assembly chaperone 3 
PSMG4_1	PSMG4	proteasome assembly chaperone 4 
PSPC1_1	PSPC1	paraspeckle component 1 
PSPC1_2	PSPC1	paraspeckle component 1 
PSPH_1	PSPH	Gallus gallus phosphoserine phosphatase , mRNA. 
PSPH_2	PSPH	Gallus gallus phosphoserine phosphatase , mRNA. 
PTBP1_1	PTBP1	polypyrimidine tract binding protein 1 
PTBP3_1	PTBP3	
PTCD2_1	PTCD2	
PTCD3_1	PTCD3	pentatricopeptide repeat domain 3 
PTCH1_1	PTCH1	
PTDSS1_1	PTDSS1	Phosphatidylserine synthase 1 
PTDSS2_1	PTDSS2	phosphatidylserine synthase 2 
PTER_1	PTER	phosphotriesterase related 
PTF1A_1	PTF1A	pancreas specific transcription factor, 1a 
PTGDR_1	PTGDR	prostaglandin D2 receptor 
PTGER2_1	PTGER2	prostaglandin E receptor 2 
PTGER3_1	PTGER3	prostaglandin E receptor 3 
PTGER4_1	PTGER4	
PTGR2_1	PTGR2	prostaglandin reductase 2 
PTGS1_1	PTGS1	prostaglandin-endoperoxide synthase 1 
PTGS2_1	PTGS2	Prostaglandin G/H synthase 2 
PTH1R_1	PTH1R	parathyroid hormone 1 receptor 
PTHLH_1	PTHLH	Parathyroid hormone-related protein Osteostatin 
PTHLH_2	PTHLH	Parathyroid hormone-related protein Osteostatin 
PTK2_1	PTK2	Focal adhesion kinase 1 
PTK7_1	PTK7	protein tyrosine kinase 7 
PTN_1	PTN	pleiotrophin 
PTP4A1_1	PTP4A1	protein tyrosine phosphatase type IVA, member 1 
PTP4A2_1	PTP4A2	protein tyrosine phosphatase type IVA, member 2 
PTP4A2_2	PTP4A2	protein tyrosine phosphatase type IVA, member 2 
PTPMT1_1	PTPMT1	protein tyrosine phosphatase, mitochondrial 1 
PTPN11_1	PTPN11	protein tyrosine phosphatase, non-receptor type 11 
PTPN1_1	PTPN1	Tyrosine-protein phosphatase non-receptor type 1 
PTPN2_1	PTPN2	protein tyrosine phosphatase, non-receptor type 2 
PTPRA_1	PTPRA	protein tyrosine phosphatase, receptor type A 
PTPRA_2	PTPRA	protein tyrosine phosphatase, receptor type A 
PTPRC_1	PTPRC	protein tyrosine phosphatase, receptor type C 
PTPRJ_1	PTPRJ	receptor-type tyrosine-protein phosphatase eta precursor 
PTPRK_1	PTPRK	protein tyrosine phosphatase, receptor type K 
PTPRO_1	PTPRO	protein tyrosine phosphatase, receptor type O 
PTPRS_1	PTPRS	receptor-type tyrosine-protein phosphatase delta precursor 
PTPRU_1	PTPRU	protein tyrosine phosphatase, receptor type U 
PTPRZ1_1	PTPRZ1	protein tyrosine phosphatase, receptor type Z1 
PTRH2_1	PTRH2	peptidyl-tRNA hydrolase 2 
PTRHD1_1	PTRHD1	peptidyl-tRNA hydrolase domain containing 1 
PTS_1	PTS	6-pyruvoyltetrahydropterin synthase 
PTTG1IP_1	PTTG1IP	PTTG1 interacting protein 
PTX3_1	PTX3	pentraxin 3 
PUDP_1	PUDP	pseudouridine 5'-phosphatase 
PUF60_1	PUF60	poly binding splicing factor 60 
PUM1_1	PUM1	Pumilio homolog 1 
PUM3_1	PUM3	
PUS10_1	PUS10	pseudouridylate synthase 10 
PUSL1_1	PUSL1	pseudouridylate synthase-like 1 
PVALB_1	PVALB	parvalbumin 
PWP1_1	PWP1	PWP1 homolog, endonuclein 
PWWP2B_1	PWWP2B	PWWP domain containing 2B 
PXDC1_1	PXDC1	PX domain containing 1 
PXDNL_1	PXDNL	peroxidasin like 
PXK_1	PXK	PX domain containing serine/threonine kinase like 
PXMP4_1	PXMP4	peroxisomal membrane protein 4 
PXN_1	PXN	paxillin 
PYGB_1	PYGB	glycogen phosphorylase B 
PYGL_1	PYGL	glycogen phosphorylase L 
PYGO1_1	PYGO1	pygopus family PHD finger 1 
PYROXD1_1	PYROXD1	pyridine nucleotide-disulphide oxidoreductase domain 1 
Pax-7_1	Pax-7	paired box 7 
Pax-7_2	Pax-7	paired box 7 
Pax5B_1	Pax5B	
Prom1_1	Prom1	prominin-1 isoform 1 precursor 
QARS_1	QARS	glutaminyl-tRNA synthetase 
QDPR_1	QDPR	quinoid dihydropteridine reductase 
QKI_1	QKI	protein quaking 
QKI_2	QKI	protein quaking 
QPCT_1	QPCT	glutaminyl-peptide cyclotransferase 
QRICH1_1	QRICH1	glutamine rich 1 
QRICH1_2	QRICH1	glutamine rich 1 
QRSL1_1	QRSL1	glutaminyl-tRNA synthase (glutamine-hydrolyzing)-like 1 
QRSL1_2	QRSL1	glutaminyl-tRNA synthase (glutamine-hydrolyzing)-like 1 
QTRT2_1	QTRT2	queuine tRNA-ribosyltransferase accessory subunit 2 
R3HDM4_1	R3HDM4	R3H domain containing 4 
RAB10_1	RAB10	RAB10, member RAS oncogene family 
RAB11A_1	RAB11A	RAB11A, member RAS oncogene family 
RAB11B_1	RAB11B	RAB11B, member RAS oncogene family 
RAB14_1	RAB14	RAB14, member RAS oncogene family 
RAB18_1	RAB18	RAB18, member RAS oncogene family 
RAB22A_1	RAB22A	RAB22A, member RAS oncogene family 
RAB24_1	RAB24	RAB24, member RAS oncogene family 
RAB26_1	RAB26	RAB26, member RAS oncogene family 
RAB27A_1	RAB27A	RAB27A, member RAS oncogene family 
RAB27A_2	RAB27A	RAB27A, member RAS oncogene family 
RAB27A_3	RAB27A	RAB27A, member RAS oncogene family 
RAB28_1	RAB28	RAB28, member RAS oncogene family 
RAB29_1	RAB29	RAB29, member RAS oncogene family 
RAB31_1	RAB31	RAB31, member RAS oncogene family 
RAB32_1	RAB32	RAB32, member RAS oncogene family 
RAB33A_1	RAB33A	RAB33A, member RAS oncogene family 
RAB33B_1	RAB33B	RAB33B, member RAS oncogene family 
RAB34_1	RAB34	RAB34, member RAS oncogene family 
RAB35_1	RAB35	RAB35, member RAS oncogene family 
RAB3B_1	RAB3B	RAB3B, member RAS oncogene family 
RAB3C_1	RAB3C	
RAB3GAP2_1	RAB3GAP2	RAB3 GTPase activating non-catalytic protein subunit 2 
RAB43_1	RAB43	RAB43, member RAS oncogene family 
RAB4A_1	RAB4A	RAB4A, member RAS oncogene family 
RAB5B_1	RAB5B	ras-related protein Rab-5B 
RAB5C_1	RAB5C	RAB5C, member RAS oncogene family 
RAB7A_1	RAB7A	RAB7A, member RAS oncogene family 
RAB7B_1	RAB7B	RAB7B, member RAS oncogene family 
RAB8A_1	RAB8A	RAB8A, member RAS oncogene family 
RAB8A_2	RAB8A	RAB8A, member RAS oncogene family 
RAB8A_3	RAB8A	RAB8A, member RAS oncogene family 
RAB8B_1	RAB8B	RAB8B, member RAS oncogene family 
RAB9A_1	RAB9A	RAB9A, member RAS oncogene family 
RAB9B_1	RAB9B	RAB9B, member RAS oncogene family 
RABEPK_1	RABEPK	Rab9 effector protein with kelch motifs 
RABGAP1L_1	RABGAP1L	RAB GTPase activating protein 1 like 
RABGAP1_1	RABGAP1	RAB GTPase activating protein 1 
RABGGTB_1	RABGGTB	Rab geranylgeranyltransferase beta subunit 
RABL3_1	RABL3	RAB, member of RAS oncogene family like 3 
RAC2_1	RAC2	Rac family small GTPase 2 
RACGAP1_1	RACGAP1	Rac GTPase activating protein 1 
RAD17_1	RAD17	
RAD18_1	RAD18	RAD18, E3 ubiquitin protein ligase 
RAD1_1	RAD1	
RAD21_1	RAD21	RAD21 cohesin complex component 
RAD51AP1_1	RAD51AP1	RAD51 associated protein 1 
RAD51A_1	RAD51A	DNA repair protein RAD51 homolog 1 
RAD51C_1	RAD51C	RAD51 paralog C 
RAD51D_1	RAD51D	RAD51 paralog D 
RAD52_1	RAD52	DNA repair protein RAD52 homolog isoform 2 
RAE1_1	RAE1	ribonucleic acid export 1 
RALA_1	RALA	RAS like proto-oncogene A 
RALBP1_1	RALBP1	ralA binding protein 1 
RALB_1	RALB	RAS like proto-oncogene B 
RALB_2	RALB	RAS like proto-oncogene B 
RALGAPA1_1	RALGAPA1	ral GTPase-activating protein subunit alpha-1 isoform 3 
RALGAPA1_2	RALGAPA1	ral GTPase-activating protein subunit alpha-1 isoform 3 
RALGAPB_1	RALGAPB	Ral GTPase activating protein non-catalytic beta subunit 
RALYL_1	RALYL	RALY RNA binding protein like 
RALYL_2	RALYL	RALY RNA binding protein like 
RAMP1_1	RAMP1	receptor activity modifying protein 1 
RAMP2_1	RAMP2	receptor activity modifying protein 2 
RAMP2_2	RAMP2	receptor activity modifying protein 2 
RAMP3_1	RAMP3	receptor activity modifying protein 3 
RANGAP1_1	RANGAP1	Ran GTPase activating protein 1 
RAN_1	RAN	RAN, member RAS oncogene family 
RAP1A_1	RAP1A	RAP1A, member of RAS oncogene family 
RAP1B_1	RAP1B	RAP1B, member of RAS oncogene family 
RAP1B_2	RAP1B	RAP1B, member of RAS oncogene family 
RAP1GDS1_1	RAP1GDS1	Rap1 GTPase-GDP dissociation stimulator 1 
RAP2C_1	RAP2C	RAP2C, member of RAS oncogene family 
RAPSN_1	RAPSN	receptor associated protein of the synapse 
RARB_1	RARB	retinoic acid receptor beta 
RARRES1_1	RARRES1	retinoic acid receptor responder 1 
RARS2_1	RARS2	arginyl-tRNA synthetase 2, mitochondrial 
RARS_1	RARS	arginyl-tRNA synthetase 
RASA2_1	RASA2	RAS p21 protein activator 2 
RASA3_1	RASA3	RAS p21 protein activator 3 
RASD1_1	RASD1	ras related dexamethasone induced 1 
RASD2_1	RASD2	RASD family member 2 
RASGEF1A_1	RASGEF1A	RasGEF domain family member 1A 
RASGEF1C_1	RASGEF1C	RasGEF domain family member 1C 
RASGRP1_1	RASGRP1	RAS guanyl releasing protein 1 
RASGRP3_1	RASGRP3	RAS guanyl releasing protein 3 
RASL11B_1	RASL11B	RAS like family 11 member B 
RASSF10_1	RASSF10	Ras association domain family member 10 
RASSF2_1	RASSF2	Ras association domain family member 2 
RASSF3_1	RASSF3	Ras association domain family member 3 
RAX1_1	RAX1	
RB1CC1_1	RB1CC1	RB1 inducible coiled-coil 1 
RB1_1	RB1	RB transcriptional corepressor 1 
RBBP4_1	RBBP4	RB binding protein 4, chromatin remodeling factor 
RBBP5_1	RBBP5	RB binding protein 5, histone lysine methyltransferase complex subunit 
RBBP6_1	RBBP6	RB binding protein 6, ubiquitin ligase 
RBBP7_1	RBBP7	Histone-binding protein RBBP7 
RBFA_1	RBFA	ribosome binding factor A 
RBFOX2_1	RBFOX2	RNA binding fox-1 homolog 2 
RBFOX3_1	RBFOX3	RNA binding fox-1 homolog 3 
RBKS_1	RBKS	ribokinase 
RBM12B_1	RBM12B	RNA binding motif protein 12B 
RBM12_1	RBM12	RNA binding motif protein 12 
RBM17_1	RBM17	RNA binding motif protein 17 
RBM17_2	RBM17	RNA binding motif protein 17 
RBM18_1	RBM18	RNA binding motif protein 18 
RBM19_1	RBM19	RNA binding motif protein 19 
RBM22_1	RBM22	RNA binding motif protein 22 
RBM24_1	RBM24	RNA binding motif protein 24 
RBM25_1	RBM25	RNA binding motif protein 25 
RBM34_1	RBM34	RNA binding motif protein 34 
RBM38_1	RBM38	RNA-binding protein 38 
